900,205,303,37
901,212,301,97
902,216,304,85
903,205,302,15
904,209,304,5
905,223,302,100
906,201,302,27
907,205,302,96
908,205,304,45
909,208,303,61
910,210,301,2
911,224,301,90
912,218,304,1
913,218,303,74
914,211,301,98
915,222,303,26
916,201,304,20
917,206,301,77
918,217,301,43
919,217,303,16
920,224,303,62
921,220,303,17
922,219,301,59
923,210,301,1
924,218,303,45
925,207,304,44
926,218,303,3
927,207,302,73
928,219,302,6
929,204,303,48
930,224,301,6
931,218,301,93
932,215,302,70
933,220,303,49
934,217,304,4
935,205,301,49
936,222,302,55
937,212,304,99
938,221,303,40
939,206,303,63
940,202,301,54
941,207,302,4
942,208,304,11
943,216,302,94
944,210,301,40
945,201,303,100
946,203,304,27
947,224,303,41
948,204,304,58
949,223,301,30
