1600,640,5,2023-07-04,$2967.37
1601,624,2,2023-09-03,$2292.07
1602,646,22,2024-05-29,$6651.14
1603,601,13,2023-11-10,$5553.27
1604,640,18,2023-08-31,$6412.60
1605,631,25,2023-06-26,$7883.98
1606,649,9,2024-05-29,$5631.75
1607,615,12,2023-11-23,$6792.65
1608,601,12,2024-05-24,$4791.35
1609,608,11,2024-03-18,$9066.42
1610,644,20,2024-05-11,$4805.42
1611,647,5,2023-11-25,$7000.27
1612,640,8,2023-12-03,$8275.93
1613,618,14,2024-02-14,$7136.42
1614,631,25,2024-05-25,$2532.05
1615,605,2,2024-03-03,$4988.36
1616,603,7,2024-06-04,$2291.06
1617,609,19,2023-07-09,$9609.04
1618,635,4,2023-06-24,$6934.95
1619,614,21,2024-03-09,$4118.24
1620,615,3,2024-04-29,$7227.78
1621,627,18,2023-11-15,$3612.98
1622,648,4,2023-07-27,$7617.82
1623,647,14,2023-08-05,$940.43
1624,625,3,2024-04-21,$1077.30
