1200,622,2023-12-30,$5310.46,VISA
1201,648,2023-08-23,$171.40,VISA
1202,636,2023-12-26,$19460.03,VISA
1203,642,2023-09-29,$1073.70,MC
1204,626,2024-06-14,$2457.11,VISA
1205,617,2023-08-12,$17147.00,MC
1206,619,2024-01-15,$4495.79,VISA
1207,613,2023-11-04,$20098.58,VISA
1208,639,2024-04-28,$18219.60,CASH
1209,631,2023-12-03,$16319.88,DEBIT
1210,644,2023-06-27,$20593.45,DEBIT
1211,634,2024-03-10,$19202.99,DEBIT
1212,602,2023-09-14,$6355.03,CASH
1213,619,2023-11-16,$22592.02,MC
1214,610,2024-05-16,$5893.75,DEBIT
1215,635,2024-01-11,$14635.35,DEBIT
1216,619,2024-04-09,$5548.30,CASH
1217,638,2023-07-25,$17783.13,MC
1218,640,2023-11-28,$8570.04,DEBIT
1219,623,2023-06-24,$22758.19,VISA
1220,622,2023-12-26,$13126.62,MC
1221,642,2024-01-26,$23887.48,VISA
1222,635,2024-02-10,$22939.93,MC
1223,621,2024-02-09,$21399.29,DEBIT
1224,631,2023-12-25,$9501.26,VISA
1225,610,2023-09-02,$17295.83,DEBIT
1226,603,2023-11-04,$2724.02,VISA
1227,629,2023-08-14,$5599.86,CASH
1228,644,2023-10-15,$9336.35,CASH
1229,622,2023-07-21,$15341.59,CASH
1230,644,2023-09-16,$16824.90,CASH
1231,648,2024-03-25,$3226.40,DEBIT
1232,641,2024-01-04,$18654.16,VISA
1233,633,2023-12-08,$7409.58,DEBIT
1234,646,2023-12-30,$7565.81,CASH
1235,607,2023-08-20,$16506.69,VISA
1236,637,2023-06-27,$154.09,CASH
1237,618,2023-12-14,$3014.37,VISA
1238,611,2023-09-30,$14521.05,VISA
1239,647,2024-05-25,$19286.22,CASH
1240,613,2024-05-30,$8735.66,MC
1241,636,2023-10-07,$22586.34,VISA
1242,606,2023-12-12,$14048.15,DEBIT
1243,618,2023-06-30,$22884.28,DEBIT
1244,625,2024-02-24,$20243.67,MC
1245,629,2024-02-28,$20909.52,DEBIT
1246,609,2024-04-25,$5929.49,CASH
1247,615,2024-01-09,$10746.20,DEBIT
1248,608,2023-07-18,$6046.42,CASH
1249,646,2023-12-19,$6730.04,DEBIT
1250,616,2024-02-17,$14307.68,CASH
1251,627,2024-01-06,$7747.62,MC
1252,608,2024-02-23,$9416.20,DEBIT
1253,628,2023-07-25,$15996.61,DEBIT
1254,616,2023-08-01,$24435.71,VISA
1255,636,2023-07-08,$200.93,MC
1256,647,2023-07-13,$10289.78,MC
1257,624,2024-03-01,$14538.30,CASH
1258,640,2024-03-06,$11380.23,DEBIT
1259,618,2024-05-04,$13490.83,CASH
1260,624,2023-11-24,$3988.54,CASH
1261,605,2024-01-09,$4502.84,DEBIT
1262,607,2024-06-02,$2617.00,MC
1263,603,2024-02-01,$21396.40,VISA
1264,607,2024-04-05,$24595.85,DEBIT
1265,629,2024-02-02,$12976.37,CASH
1266,624,2024-04-10,$1259.45,DEBIT
1267,606,2023-08-10,$6074.65,MC
1268,639,2024-01-28,$11364.60,VISA
1269,615,2024-03-02,$20724.69,VISA
1270,645,2024-02-22,$13618.73,MC
1271,643,2023-08-06,$378.24,CASH
1272,639,2023-06-29,$8425.68,CASH
1273,612,2024-05-27,$13754.32,DEBIT
1274,625,2023-10-02,$12540.96,MC
1275,628,2023-06-30,$24421.24,MC
1276,640,2023-07-08,$9413.16,DEBIT
1277,619,2024-01-20,$15882.60,MC
1278,614,2023-08-03,$15488.47,VISA
1279,618,2023-12-05,$7933.96,VISA
1280,643,2024-03-31,$10283.51,CASH
1281,628,2023-10-04,$18425.25,MC
1282,616,2023-12-19,$18152.96,MC
1283,633,2024-06-08,$12823.52,MC
1284,602,2024-04-11,$778.95,CASH
1285,632,2023-12-28,$18356.07,VISA
1286,648,2023-09-16,$21940.25,VISA
1287,643,2024-06-03,$21413.68,DEBIT
1288,646,2023-08-25,$23229.37,MC
1289,623,2023-09-03,$14966.98,MC
1290,641,2024-02-29,$19387.64,DEBIT
1291,603,2024-03-06,$3815.37,CASH
1292,631,2024-01-14,$19984.10,MC
1293,612,2023-07-15,$15185.33,MC
1294,632,2024-06-13,$6856.91,MC
1295,604,2024-04-26,$3603.30,MC
1296,615,2024-06-18,$16859.12,CASH
1297,635,2023-07-20,$11854.49,MC
1298,621,2024-01-11,$19801.16,VISA
1299,603,2024-05-15,$20952.61,DEBIT
