600,502,25,2024-04-18,$30108.57
601,503,24,2023-10-20,$19973.90
602,503,15,2023-07-27,$38529.44
603,504,5,2024-02-21,$30057.61
604,502,12,2023-07-27,$26627.31
605,504,25,2024-01-08,$48580.19
606,503,7,2024-01-06,$4381.30
607,504,18,2024-02-23,$1132.92
608,504,23,2023-10-09,$20843.16
609,503,10,2023-08-09,$40089.06
610,502,2,2024-03-27,$39970.53
611,501,5,2023-11-12,$16666.19
612,502,25,2023-12-17,$43686.12
613,501,15,2024-04-01,$22233.67
614,501,19,2023-06-28,$45148.57
615,503,10,2024-06-04,$14771.20
616,504,10,2024-03-25,$34604.61
617,503,22,2024-06-15,$41579.64
618,504,13,2024-05-16,$16489.54
619,502,16,2024-01-22,$13024.10
620,503,25,2024-05-14,$746.65
621,503,6,2023-07-09,$40328.85
622,502,11,2024-05-13,$10764.81
623,504,16,2024-01-21,$12843.94
624,502,6,2023-11-17,$17869.13
625,503,25,2024-05-10,$795.66
626,501,24,2024-02-14,$49537.99
627,502,5,2023-12-02,$47890.13
628,503,17,2024-01-03,$15363.85
629,501,3,2023-11-01,$26269.77
630,503,11,2023-06-26,$14022.35
631,502,16,2023-12-07,$47011.50
632,504,11,2024-05-03,$14750.69
633,503,14,2024-05-08,$16246.83
634,501,25,2023-10-19,$8681.70
635,502,10,2023-07-18,$11515.93
636,501,12,2024-01-11,$20901.43
637,503,4,2023-12-23,$25521.30
638,504,8,2024-01-07,$40046.09
639,503,7,2023-10-19,$13850.75
640,502,9,2024-04-19,$31637.18
641,504,15,2024-01-22,$36356.57
642,501,18,2024-01-14,$12513.76
643,504,17,2023-09-13,$19333.02
644,502,23,2023-07-30,$14774.34
645,501,20,2024-01-27,$29178.32
646,503,21,2023-09-20,$16004.96
647,502,5,2023-12-22,$48600.11
648,501,2,2024-02-16,$2760.47
649,503,19,2023-09-11,$31721.24
