800,301,2023-10-27,$8947.55,703
801,301,2023-09-12,$4202.74,701
802,304,2023-11-14,$9294.67,702
803,303,2023-10-30,$16953.08,702
804,302,2024-01-25,$22461.62,701
805,301,2024-01-15,$82.94,704
806,303,2023-11-02,$23788.51,701
807,303,2023-11-13,$3934.19,704
808,303,2023-11-21,$1974.31,702
809,301,2023-07-23,$11289.58,701
810,301,2024-05-23,$3669.42,703
811,304,2023-10-29,$15965.34,703
812,301,2023-09-18,$3074.16,701
813,303,2023-09-13,$12269.34,704
814,304,2023-12-24,$18242.78,704
815,301,2023-09-02,$9669.62,703
816,301,2023-12-05,$249.47,704
817,303,2024-01-09,$64.46,704
818,303,2024-03-04,$17208.66,703
819,303,2023-12-04,$8813.91,703
