1100,614,202,206,$4372.27
1101,638,204,4,$3205.76
1102,618,205,147,$135.22
1103,631,218,53,$2348.71
1104,603,211,26,$3659.82
1105,609,207,30,$4372.93
1106,615,207,171,$1190.59
1107,614,218,60,$3331.99
1108,646,201,211,$1091.86
1109,612,212,49,$1690.29
1110,636,219,55,$4538.40
1111,648,220,167,$3613.49
1112,611,216,165,$1404.10
1113,629,215,155,$4820.71
1114,636,212,186,$2060.41
1115,644,216,173,$3937.75
1116,635,221,236,$2418.02
1117,609,222,49,$2118.42
1118,607,211,151,$3906.31
1119,648,202,167,$3959.49
1120,649,219,158,$661.82
1121,608,210,187,$1575.25
1122,613,223,94,$4076.98
1123,638,218,47,$2754.70
1124,610,217,230,$1617.12
1125,629,218,145,$1111.71
1126,645,216,173,$2511.75
1127,621,213,160,$4424.64
1128,629,216,172,$1796.79
1129,605,202,41,$2903.68
1130,622,209,241,$4295.35
1131,609,202,34,$4357.88
1132,610,210,200,$36.64
1133,620,209,185,$1045.70
1134,643,207,57,$833.38
1135,646,219,203,$291.09
1136,602,206,204,$3719.34
1137,648,216,162,$4109.19
1138,611,222,241,$1142.45
1139,627,217,218,$4342.87
1140,628,205,49,$3556.61
1141,613,215,215,$2670.27
1142,603,218,190,$1472.75
1143,624,223,35,$1036.12
1144,622,208,116,$4325.94
1145,616,220,35,$3830.40
1146,635,213,188,$2894.14
1147,629,201,75,$3428.52
1148,636,212,179,$949.01
1149,633,204,169,$3924.28
