1500,502,632
1501,502,613
1502,502,612
1503,501,625
1504,504,638
1505,501,616
1506,504,609
1507,501,613
1508,504,624
1509,504,647
1510,504,641
1511,504,640
1512,503,618
1513,501,603
1514,501,647
1515,503,610
1516,504,626
1517,502,628
1518,504,624
1519,503,603
1520,501,612
1521,501,608
1522,503,626
1523,504,635
1524,502,633
1525,503,611
1526,503,607
1527,504,630
1528,502,626
1529,504,646
1530,504,623
1531,504,642
1532,502,613
1533,501,604
1534,503,609
1535,501,634
1536,504,641
1537,502,622
1538,503,602
1539,501,623
1540,504,636
1541,503,601
1542,502,616
1543,504,611
1544,501,615
1545,503,620
1546,502,621
1547,504,628
1548,501,632
1549,502,640
